Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
30	Iron bcc (old)	4.12	2.2904	4	448.00	39.04	2.9734	1.6854	136.97	2.77	5.10	5.56	48.32	41.69	True	no
31	Iron bcc (old)	14.56	4.3056	3	618.06	44.22	5.6693	1.7337	84.922	0.50	1.17	231.25	49.94	43.70	True	edge
32	Iron bcc (old)	11.04	3.7492	3	566.67	42.03	4.1737	1.2393	19.344	0.50	1.44	17.01	37.99	47.02	True	no
33	Iron bcc (old)	19.56	4.9904	5	47.82	51.11	6.9158	1.9205	56.405	0.76	2.05	224.78	34.67	34.30	True	no
34	Iron bcc (old)	6.2	2.8096	4	14.48	45.31	3.8148	1.8435	49.571	0.46	1.37	216.49	49.65	49.13	True	no
35	Iron bcc (old)	1.56	1.4093	2	513.49	40.49	1.5495	1.2087	144.31	0.84	2.26	4.28	50.10	42.59	True	no
36	Iron bcc (old)	5.72	2.6987	3	580.45	44.95	3.439	1.6239	54.132	3.28	6.72	30.90	38.59	31.44	True	no
37	Iron bcc (old)	4.96	2.513	3	93.65	47.99	3.5316	1.9749	73.028	0.45	1.16	43.46	41.89	47.15	True	no
38	Iron bcc (old)	38.6	7.0105	6	113.61	57.03	8.7893	1.5718	175.51	1.90	7.47	234.73	44.53	26.96	True	no
39	Iron bcc (old)	12.88	4.0496	4	63.22	55.52	5.0159	1.5341	98.552	0.59	1.39	224.88	41.76	38.98	True	no
40	Iron bcc (old)	21.84	5.2733	4	306.34	52.27	7.4333	1.987	13.596	0.86	2.42	296.48	35.85	57.87	True	no
41	Iron bcc (old)	18.64	4.8717	4	380.29	55.73	5.7468	1.3915	141.24	2.04	6.91	254.80	41.22	21.92	True	no
42	Iron bcc (old)	3.04	1.9674	3	3.45	52.01	2.0213	1.0556	158.37	2.26	8.46	221.16	43.27	31.49	True	edge
43	Iron bcc (old)	228.52	17.058	12	341.74	100.90	20.066	1.3838	139.76	2.88	13.20	226.18	48.87	35.40	True	no
44	Iron bcc (old)	18.08	4.7979	4	370.87	64.36	8.0586	2.821	137.41	4.28	7.63	116.07	42.77	64.45	True	no
45	Iron bcc (old)	7.08	3.0024	4	497.02	57.34	4.1634	1.9229	73.877	1.79	3.77	34.32	41.31	40.41	True	no
46	Iron bcc (old)	10.24	3.6108	4	8.59	61.41	4.5207	1.5675	36.347	0.43	1.22	20.35	13.19	58.73	True	edge
47	Iron bcc (old)	2.6	1.8195	3	489.83	59.40	2.2368	1.5113	73.413	0.35	1.19	210.61	39.53	45.96	True	no
48	Iron bcc (old)	16.64	4.6029	3	612.09	66.70	6.3242	1.8878	32.899	3.33	7.05	237.97	46.06	30.45	True	edge
49	Iron bcc (old)	49.6	7.9469	6	201.84	71.94	12.069	2.3066	8.8243	0.85	2.55	300.33	52.77	41.21	True	no
50	Iron bcc (old)	9.4	3.4595	4	11.66	71.22	5.597	2.6175	31.957	1.38	2.85	234.45	41.77	21.18	True	edge
51	Iron bcc (old)	15.6	4.4567	6	30.84	70.14	5.1041	1.3116	26.996	0.50	1.40	67.90	48.44	35.84	True	no
52	Iron bcc (old)	41	7.2252	7	535.08	79.69	8.9386	1.5305	136.66	0.64	2.06	215.06	44.18	38.57	True	no
53	Iron bcc (old)	18.52	4.856	6	78.59	71.64	6.0796	1.5675	2.316	0.41	1.31	161.32	44.61	26.28	True	no
54	Iron bcc (old)	9.2	3.4225	5	425.87	71.38	3.4732	1.0298	91.803	0.72	2.76	101.50	45.29	76.49	True	no
55	Iron bcc (old)	17.56	4.7284	6	483.39	74.77	4.9641	1.1022	175.33	0.71	1.83	36.18	18.95	35.28	True	no
56	Iron bcc (old)	16.2	4.5416	5	52.55	74.44	5.1376	1.2796	14.045	0.61	1.97	316.51	32.64	51.17	True	no
57	Iron bcc (old)	40.48	7.1792	7	98.88	85.47	9.497	1.7499	54.915	3.98	5.54	78.01	47.08	36.43	True	no
58	Iron bcc (old)	212.08	16.433	19	418.11	124.25	24.85	2.2869	117.82	3.10	10.55	229.63	52.55	41.51	True	no
59	Iron bcc (old)	4.68	2.4411	3	409.18	72.30	3.0027	1.5131	163.15	0.87	1.87	122.92	35.65	71.22	True	no
60	Iron bcc (old)	7.24	3.0362	4	446.02	73.09	4.1593	1.8767	9.4763	0.60	1.98	67.84	22.79	23.09	True	no
61	Iron bcc (old)	20.6	5.1214	4	619.17	91.37	8.8993	3.0195	88.5	2.51	5.17	227.55	46.54	42.15	True	edge
62	Iron bcc (old)	13.28	4.112	2	266.75	78.98	5.3608	1.6996	36.404	0.61	1.47	89.76	51.89	49.24	True	no
63	Iron bcc (old)	176.36	14.985	10	274.89	104.69	21.77	2.1106	7.1403	4.22	9.86	101.77	44.56	55.52	True	no
64	Iron bcc (old)	2.12	1.6429	3	470.09	77.36	3.3573	4.1756	120.29	2.80	7.06	225.01	41.25	42.12	True	no
65	Iron bcc (old)	36.92	6.8562	8	446.63	94.79	8.8971	1.6839	142.16	1.76	9.41	105.95	49.53	56.89	True	no
66	Iron bcc (old)	60.88	8.8043	4	11.38	107.90	14.285	2.6325	81.917	0.88	2.18	35.37	46.06	56.48	True	edge
67	Iron bcc (old)	9	3.3851	3	555.71	90.32	5.6553	2.7909	100.24	2.18	2.95	209.87	44.83	52.21	True	no
68	Iron bcc (old)	98.8	11.216	8	47.66	107.50	12.395	1.2212	58.219	1.69	8.97	30.50	39.65	54.27	True	no
69	Iron bcc (old)	121.92	12.459	8	185.30	102.09	19.236	2.3836	174.74	2.23	6.26	213.30	50.19	52.11	True	no
70	Iron bcc (old)	14.04	4.228	7	482.17	91.87	5.8313	1.9022	14.17	3.20	5.03	246.52	47.33	24.96	True	no
71	Iron bcc (old)	3.6	2.1409	3	462.96	89.14	2.9998	1.9632	173.03	0.43	1.44	214.25	49.16	45.75	True	no
72	Iron bcc (old)	18.04	4.7926	5	519.29	101.23	7.3933	2.3798	116.19	3.73	5.59	205.67	47.03	53.66	True	no
73	Iron bcc (old)	18	4.7873	3	77.15	103.52	5.5346	1.3366	106.9	0.38	1.21	39.48	51.12	45.63	True	no
74	Iron bcc (old)	164.48	14.471	17	520.43	138.80	16.24	1.2593	17.455	2.26	11.95	214.90	48.21	51.61	True	no
75	Iron bcc (old)	34.52	6.6296	8	488.21	109.68	8.6281	1.6938	44.341	0.99	2.67	54.03	37.73	25.83	True	no
76	Iron bcc (old)	3.44	2.0928	2	538.98	95.83	2.636	1.5864	152.71	0.44	1.02	235.55	45.89	30.70	True	no
77	Iron bcc (old)	45.6	7.6197	9	575.12	114.63	9.3063	1.4917	160.51	2.96	10.02	116.17	49.27	50.05	True	no
78	Iron bcc (old)	4.36	2.3561	3	510.18	104.90	2.9119	1.5274	91.226	0.35	1.27	94.26	40.95	68.78	True	no
79	Iron bcc (old)	4.04	2.268	4	466.34	104.63	2.6139	1.3282	122.75	2.95	7.41	102.49	46.21	71.56	True	no
80	Iron bcc (old)	1.56	1.4093	2	225.85	105.15	1.9313	1.8778	75.317	0.33	0.60	249.12	40.23	23.73	True	no
81	Iron bcc (old)	18.08	4.7979	5	110.10	114.38	6.0271	1.578	137.16	0.78	2.68	280.73	29.67	84.67	True	no
